County,Median_Home_Price_Q1_2024,2023_Units,County_Valuation
Alachua County,372180,130188,31018704808
Baker County,256490,10334,1682105174
Bay County,339250,110847,24094745194
Bradford County,187750,10996,1327805479
Brevard County,402940,303990,78349754389
Broward County,559120,868149,310603262158
Calhoun County,151940,5701,559215747
Charlotte County,400110,123504,31607503004
Citrus County,304180,86454,16836117321
Clay County,395680,90755,23009367983
Collier County,666400,245477,104791858898
Columbia County,256130,30568,5016084249
DeSoto County,165940,16036,1699467589
Dixie County,124680,9502,749393167
Duval County,367550,464833,109312641447
Escambia County,311430,151224,30099641130
Flagler County,358022,63911,14594344662
Franklin County,292530,8666,1625280221
Gadsden County,149970,19294,1854123273
Gilchrist County,209230,8049,1081947936
Glades County,116420,6802,503464260
Gulf County,281040,9654,1730601606
Hamilton County,128210,5694,467439512
Hardee County,148990,9991,958081771
Hendry County,172280,16837,1845274403
Hernando County,343270,94200,20722959148
Highlands County,242430,59245,9186543386
Hillsborough County,464180,644879,191745134963
Holmes County,125270,8680,692318252
Indian River County,424130,87606,23822981926
Jackson County,154450,20280,2006916675
Jefferson County,217850,6992,973408940
Lafayette County,150910,3416,332698678
Lake County,381160,192112,46886414592
Lee County,437540,452080,126734832893
Leon County,353760,139933,31728500825
Levy County,191880,21704,2673336703
Liberty County,151060,3239,315571950
Madison County,131160,8497,717769119
Manatee County,488170,228829,71659536843
Marion County,298320,194362,37062609496
Martin County,513490,84163,27760872897
Miami-Dade County,605330,1104711,428045355552
Monroe County,974720,55144,34399562892
Nassau County,469670,46613,13957441215
Okaloosa County,412820,104835,27665934892
Okeechobee County,185250,18619,2187180899
Orange County,472180,599452,181138564142
Osceola County,420050,179286,48257463299
Palm Beach County,586430,725797,272580255226
Pasco County,363680,279603,65121291357
Pinellas County,451810,522020,150901775552
Polk County,323610,352651,73096058012
Putnam County,168300,38313,4142955194
St. Johns County,599480,141384,54080842402
St. Lucie County,412040,166819,43927940887
Santa Rosa County,410510,81808,21459363308
Sarasota County,521010,273012,90969226965
Seminole County,483080,202797,62801508467
Sumter County,476310,88696,27062823706
Suwannee County,174050,19384,2166391367
Taylor County,118190,11399,861924183
Union County,179790,4878,565316728
Volusia County,365730,287101,67097789464
Wakulla County,259040,15013,2463427046
Walton County,575050,63663,23343126926
Washington County,184070,11147,1296285410
